transaction_id,merchant_id,customer_id,amount,payment_method,delivery_distance_km,customer_tenure_days,order_item_category,payment_failure_history,is_foreign_ip,hours_since_last_order,transaction_velocity_5min,device_age_days,attempted_payment_method_changes,is_fraud
TXN_00140,142,323,3099.31,UPI,23.96,85,Electronics,2,False,56.03,0,973,0,0
TXN_00141,103,823,1333.67,UPI,69.47,52,Furniture,2,False,13.89,1,1041,0,0
TXN_00142,27,1924,43310.77,Card,57.38,158,Grocery,1,False,86.45,2,686,0,1
TXN_00143,137,543,9247.58,NetBanking,52.54,165,Digital_Goods,2,False,99.16,2,225,1,0
TXN_00144,15,66,49349.69,UPI,1.4,37,Grocery,1,False,11.58,2,124,0,1
TXN_00145,90,718,13854.37,UPI,97.64,288,Grocery,2,False,21.08,2,1197,0,0
TXN_00146,42,1125,1003.94,UPI,23.63,49,Digital_Goods,0,False,36.47,1,843,0,1
TXN_00147,124,1856,10662.22,Card,7.29,30,Grocery,0,False,3.3,3,891,0,0
TXN_00148,179,31,1509.09,UPI,70.45,13,Apparel,0,False,33.81,1,504,0,0
TXN_00149,63,885,4958.8,UPI,33.32,1058,Apparel,0,False,43.86,1,725,0,0
TXN_00150,96,191,4487.91,NetBanking,1.63,202,Electronics,0,False,115.71,2,428,1,0
TXN_00151,52,1602,705.43,UPI,76.13,133,Apparel,0,False,21.87,0,1276,1,0
TXN_00152,96,415,1853.12,NetBanking,28.55,263,Electronics,0,False,13.19,0,962,0,0
TXN_00153,132,1839,69301.7,Card,70.31,68,Apparel,0,False,36.4,3,1236,0,0
TXN_00154,151,747,6542.36,Wallet,70.45,208,Apparel,1,True,81.51,1,2,0,0
TXN_00155,143,1814,3980.99,UPI,5.26,84,Grocery,0,False,40.36,4,805,0,0
TXN_00156,171,1738,43280.97,UPI,47.5,145,Furniture,1,False,95.99,3,524,0,0
TXN_00157,29,1524,3054.95,NetBanking,22.33,1031,Apparel,1,False,9.51,0,495,0,0
TXN_00158,36,1886,4404.12,Wallet,39.53,64,Furniture,0,False,98.3,0,869,0,0
TXN_00159,13,1761,16138.51,UPI,4.64,256,Furniture,0,False,39.45,1,1068,0,0
TXN_00160,160,1619,3038.49,Card,44.36,432,Furniture,1,False,15.96,2,1107,0,0
TXN_00161,71,1070,2006.56,UPI,75.15,1000,Electronics,1,False,4.56,1,482,0,0
TXN_00162,187,1113,328.81,Card,216.43,1025,Electronics,1,False,3.83,1,1015,0,0
TXN_00163,86,1722,1597.51,UPI,19.3,113,Electronics,1,False,53.9,0,886,0,0
TXN_00164,28,375,1579.35,Card,8.43,1146,Digital_Goods,0,False,143.25,3,831,0,0
TXN_00165,66,1725,5944.85,UPI,22.78,161,Apparel,1,False,61.96,0,768,0,0
TXN_00166,170,1270,2362.44,NetBanking,0.97,901,Digital_Goods,0,False,64.38,3,949,0,0
TXN_00167,45,558,65488.04,NetBanking,26.28,39,Apparel,2,False,10.68,2,192,0,0
TXN_00168,62,1281,1381.39,Card,123.01,88,Electronics,1,False,18.05,4,1355,0,0
TXN_00169,185,1376,26390.94,NetBanking,10.81,32,Electronics,0,False,77.17,0,239,0,0
TXN_00170,134,1945,6397.76,NetBanking,32.48,142,Furniture,2,True,33.35,1,1310,0,0
TXN_00171,28,1597,12940.65,UPI,42.5,828,Digital_Goods,2,False,1.19,3,615,0,0
TXN_00172,28,1129,12030.78,NetBanking,9.92,69,Digital_Goods,1,False,14.63,0,606,0,0
TXN_00173,108,1361,343.13,UPI,20.03,101,Furniture,0,False,101.94,2,674,0,0
TXN_00174,44,1550,4847.1,UPI,121.16,97,Apparel,4,False,81.75,0,1034,0,0
TXN_00175,84,1325,3587.91,UPI,17.53,128,Electronics,0,False,9.88,0,1359,1,0
TXN_00176,30,1101,1261.97,UPI,50.44,7,Apparel,0,False,13.57,2,1406,0,1
TXN_00177,190,1535,8531.76,UPI,7.36,220,Electronics,0,False,138.05,2,1193,1,0
TXN_00178,75,1254,38555.28,NetBanking,55.41,1496,Grocery,1,False,24.76,1,1415,2,1
TXN_00179,128,1703,198.82,Wallet,16.37,237,Electronics,0,False,7.26,1,464,0,0
TXN_00180,92,578,2587.99,Card,13.15,671,Grocery,0,False,33.33,0,1050,1,0
TXN_00181,190,32,1102.22,UPI,6.63,338,Apparel,1,False,30.61,1,1303,0,0
TXN_00182,129,1632,5356.86,NetBanking,2.4,5,Furniture,1,False,173.0,0,917,0,0
TXN_00183,121,58,3325.1,UPI,171.88,352,Grocery,3,False,49.77,3,1155,0,1
TXN_00184,27,1128,2376.03,NetBanking,26.71,1171,Apparel,1,False,29.1,2,2,1,0
TXN_00185,190,312,11241.96,UPI,75.17,322,Furniture,0,False,22.18,2,626,0,1
TXN_00186,121,1670,35011.0,UPI,126.34,300,Furniture,1,False,45.69,1,324,0,1
TXN_00187,116,1753,100000.0,UPI,11.41,443,Apparel,1,False,36.51,3,635,0,0
TXN_00188,3,1091,2023.22,UPI,101.95,818,Grocery,0,False,53.1,1,174,0,0
TXN_00189,103,690,552.77,Card,61.55,332,Furniture,1,False,38.26,0,473,0,0
TXN_00190,198,1398,9614.58,UPI,43.13,208,Furniture,0,False,114.99,0,1308,0,0
TXN_00191,200,1783,33947.88,NetBanking,82.79,15,Digital_Goods,0,False,0.19,0,1371,0,1
TXN_00192,155,1830,13048.49,UPI,5.86,47,Electronics,0,False,39.4,0,115,1,0
TXN_00193,137,235,33779.74,Card,15.3,418,Furniture,0,False,75.57,0,191,0,0
TXN_00194,62,643,3749.64,Card,7.02,385,Grocery,0,False,4.5,1,884,0,1
TXN_00195,165,1136,2364.95,UPI,113.15,109,Grocery,3,False,4.71,2,494,0,0
TXN_00196,51,1413,5644.99,NetBanking,5.2,507,Digital_Goods,0,False,4.78,0,624,1,0
TXN_00197,172,1432,3305.48,UPI,195.48,131,Apparel,3,False,136.43,4,145,0,0
TXN_00198,152,1078,10891.23,UPI,5.82,145,Grocery,0,False,89.73,2,569,0,0
TXN_00199,59,802,15736.24,Card,54.21,25,Digital_Goods,0,False,5.55,2,973,0,0
TXN_00200,118,239,17286.83,UPI,54.01,319,Digital_Goods,0,False,50.53,2,58,1,0
TXN_00201,160,1776,9069.85,Card,133.86,135,Grocery,0,False,41.89,2,189,0,0
TXN_00202,96,1319,6601.07,Card,19.51,683,Digital_Goods,0,False,6.91,1,1289,0,0
TXN_00203,180,112,12750.32,UPI,20.17,646,Furniture,1,False,35.98,4,342,0,0
TXN_00204,113,1112,466.1,UPI,93.64,54,Grocery,1,False,1.95,0,838,0,1
TXN_00205,62,1764,6327.65,NetBanking,192.16,69,Digital_Goods,1,False,0.28,0,1362,1,0
TXN_00206,186,476,5234.22,Card,1.53,154,Electronics,3,False,16.38,3,1243,0,0
TXN_00207,52,304,6346.74,UPI,50.44,347,Grocery,1,False,120.78,0,54,0,0
TXN_00208,12,1329,4424.23,UPI,13.96,167,Digital_Goods,0,False,39.47,3,1184,0,0
TXN_00209,39,290,8252.13,Card,65.09,172,Digital_Goods,4,False,1.53,4,346,1,0
TXN_00210,130,208,2466.31,Card,74.08,60,Digital_Goods,1,False,1.7,1,260,0,0
TXN_00211,131,868,19061.54,UPI,71.88,163,Furniture,0,False,6.12,0,773,1,0
TXN_00212,113,1927,8676.55,UPI,28.59,254,Grocery,1,False,15.22,0,1409,0,0
TXN_00213,101,1810,5888.89,UPI,8.59,1672,Grocery,0,False,7.96,1,70,0,0
TXN_00214,113,582,2128.09,UPI,43.95,727,Apparel,0,False,12.21,1,628,0,0
TXN_00215,184,370,13073.99,Card,77.8,629,Furniture,0,False,8.25,1,522,0,0
TXN_00216,81,220,6298.03,NetBanking,121.63,328,Grocery,0,False,71.94,1,769,0,0
TXN_00217,187,1255,1985.09,Wallet,30.13,178,Digital_Goods,1,False,24.89,3,951,0,0
TXN_00218,113,802,4591.7,UPI,14.1,777,Electronics,0,False,53.69,2,1087,0,0
TXN_00219,2,819,10455.66,Card,6.32,170,Furniture,2,False,17.59,2,853,0,0
TXN_00220,130,1897,9527.03,UPI,79.88,359,Furniture,0,False,28.73,3,1008,0,0
TXN_00221,54,349,8816.77,Card,38.32,118,Grocery,3,False,45.13,1,627,0,0
TXN_00222,87,255,5491.94,Card,56.07,599,Digital_Goods,1,True,3.38,7,1496,1,1
TXN_00223,129,452,16831.1,UPI,8.67,289,Grocery,0,False,13.96,0,490,1,0
TXN_00224,147,142,21706.26,NetBanking,0.33,902,Electronics,1,False,158.52,0,449,0,0
TXN_00225,126,1093,11905.87,UPI,171.45,336,Grocery,1,False,92.99,1,355,1,0
TXN_00226,130,89,2428.57,UPI,83.27,71,Grocery,1,False,126.56,1,252,2,0
TXN_00227,53,871,1380.67,Card,25.54,1981,Electronics,2,False,1.95,1,652,2,0
TXN_00228,172,1160,2558.75,UPI,30.55,278,Apparel,0,False,39.86,0,1065,2,0
TXN_00229,160,1679,51245.76,NetBanking,132.3,115,Electronics,3,False,15.6,1,751,0,0
TXN_00230,198,1875,6891.44,UPI,11.64,159,Digital_Goods,1,False,89.47,0,862,0,0
TXN_00231,160,1723,63052.95,Card,81.18,51,Furniture,0,True,43.64,2,720,0,1
TXN_00232,68,523,4254.63,UPI,0.9,30,Grocery,1,False,10.09,1,67,0,0
TXN_00233,183,660,3602.65,UPI,104.26,239,Apparel,1,False,3.43,2,1250,0,0
TXN_00234,184,951,4496.85,UPI,44.49,1213,Grocery,0,False,58.12,3,56,0,0
TXN_00235,123,1828,4400.14,UPI,32.46,52,Digital_Goods,0,False,127.44,1,498,1,0
TXN_00236,145,1874,1942.28,NetBanking,61.29,932,Furniture,1,False,18.54,1,1060,1,0
TXN_00237,38,910,1238.16,Card,3.5,637,Apparel,3,False,27.25,3,39,1,0
TXN_00238,24,442,8969.67,UPI,10.88,656,Furniture,0,False,63.37,1,437,0,0
TXN_00239,69,38,17428.83,Card,26.13,495,Apparel,1,False,42.92,1,462,0,0
TXN_00240,116,1881,92408.81,UPI,48.1,358,Apparel,1,False,46.27,2,824,0,0
TXN_00241,98,1232,2920.6,Wallet,7.81,51,Electronics,4,True,14.72,2,488,2,0
TXN_00242,198,210,3218.96,UPI,23.86,342,Apparel,0,False,5.37,1,182,2,0
TXN_00243,139,513,1947.93,UPI,15.12,173,Grocery,1,False,30.67,2,1174,0,0
TXN_00244,144,1384,18974.91,UPI,51.86,44,Apparel,1,False,38.71,1,857,0,0
TXN_00245,97,1601,13068.83,UPI,125.84,651,Grocery,1,False,70.59,2,1000,0,0
TXN_00246,124,1025,1715.88,Wallet,9.07,316,Grocery,3,False,3.95,2,1224,0,0
TXN_00247,187,1779,1664.64,NetBanking,10.49,546,Digital_Goods,1,True,10.04,1,422,1,0
TXN_00248,70,981,15413.79,Card,45.88,261,Digital_Goods,0,False,12.34,3,1475,1,0
TXN_00249,93,381,7784.08,Card,30.22,320,Grocery,1,False,37.84,0,1498,0,0
TXN_00250,3,828,12210.68,NetBanking,63.31,498,Digital_Goods,1,True,25.54,2,318,0,0
TXN_00251,148,1561,1703.9,UPI,16.98,113,Apparel,0,False,58.73,1,990,0,0
TXN_00252,187,859,516.32,Card,39.35,751,Grocery,0,False,94.59,2,542,0,0
TXN_00253,164,394,1719.94,UPI,24.46,218,Digital_Goods,1,False,46.67,5,551,1,0
TXN_00254,147,1074,11218.51,Card,16.51,493,Furniture,0,False,98.39,2,1401,1,0
TXN_00255,90,396,61899.64,UPI,65.34,157,Digital_Goods,1,False,51.52,1,1111,0,0
TXN_00256,195,1884,2935.53,NetBanking,79.46,484,Electronics,0,False,42.61,3,1327,0,0
TXN_00257,147,1777,75435.03,UPI,19.95,17,Digital_Goods,2,False,37.18,4,837,0,0
TXN_00258,148,32,13303.52,NetBanking,48.77,1059,Apparel,2,False,33.44,0,633,0,0
TXN_00259,96,545,923.68,UPI,9.84,618,Digital_Goods,1,False,8.95,0,104,0,0
TXN_00260,199,712,6354.01,NetBanking,78.26,437,Furniture,1,False,32.58,1,107,0,0
TXN_00261,52,1258,13860.1,UPI,16.51,156,Apparel,1,False,72.06,0,183,1,0
TXN_00262,161,1050,267.58,Card,9.37,739,Furniture,0,False,37.99,4,665,0,0
TXN_00263,168,1578,10650.28,NetBanking,140.64,583,Electronics,1,False,26.79,3,48,0,0
TXN_00264,128,1458,20075.7,UPI,27.45,241,Digital_Goods,1,False,134.98,2,762,0,0
TXN_00265,39,1085,7931.85,UPI,51.57,87,Furniture,0,False,0.99,2,1360,0,0
TXN_00266,82,553,4563.91,UPI,82.83,77,Apparel,1,False,6.5,3,1338,0,0
TXN_00267,104,1465,3993.76,UPI,57.94,267,Grocery,0,False,108.44,2,424,1,0
TXN_00268,129,1154,3723.48,UPI,41.58,611,Grocery,2,False,6.09,0,1091,0,0
TXN_00269,11,1891,1198.5,UPI,23.23,501,Apparel,0,False,39.03,0,449,0,1
TXN_00270,185,1378,2153.76,UPI,125.37,272,Electronics,2,False,120.91,1,268,0,0
TXN_00271,178,198,2981.22,Wallet,7.17,91,Electronics,0,False,55.47,2,205,0,0
TXN_00272,151,799,5631.85,UPI,107.67,109,Grocery,3,False,27.91,1,64,0,0
TXN_00273,159,1687,2519.52,UPI,61.87,23,Apparel,2,True,4.06,1,523,0,0
TXN_00274,42,1740,1732.02,UPI,42.36,77,Grocery,0,False,10.96,0,1159,0,0
TXN_00275,99,694,12230.95,UPI,19.63,5,Grocery,0,False,58.66,1,1399,0,0
TXN_00276,7,1395,7667.43,Card,7.89,448,Grocery,0,False,56.55,0,180,3,0
TXN_00277,144,1948,2573.25,Card,29.27,354,Grocery,1,False,42.24,1,43,0,0
TXN_00278,90,1743,9023.02,UPI,76.57,1767,Electronics,1,False,35.47,1,1013,0,0
TXN_00279,112,147,2853.24,UPI,68.39,575,Electronics,0,False,16.43,2,648,0,0
TXN_00280,60,1740,5301.14,Card,51.84,113,Electronics,2,False,49.33,1,398,0,0
TXN_00281,113,498,15836.19,UPI,244.64,492,Digital_Goods,0,False,141.23,1,1106,0,0
TXN_00282,2,48,2381.56,UPI,179.92,4,Electronics,1,False,51.09,1,272,1,0
TXN_00283,129,770,1203.64,UPI,25.54,1712,Digital_Goods,1,False,102.54,0,971,1,0
TXN_00284,48,651,4129.2,Card,10.69,381,Electronics,0,False,60.41,3,1292,0,0
